◊Æ∫≈(km),∆∆À¬ DR(%),πÍ¡—(m2),øÈ◊¥¡—∑Ï(m2),◊›œÚ¡—∑Ï(m),∫·œÚ¡—∑Ï(m),≥¡œ›(m2),≥µ’ﬁ(m),≤®¿À”µ∞¸(m2),ø”≤€(m2),À……¢(m2),∑∫”Õ(m2),–ﬁ≤π(m2)
K100+100,2,3,4,5,6,7,8,9,10,11,12,13
K100+101,2,3,4,5,6,7,8,9,10,11,12,13
K100+102,2,3,4,5,6,7,8,9,10,11,12,13
K100+103,2,3,4,5,6,7,8,9,10,11,12,13
K100+104,2,3,4,5,6,7,8,9,10,11,12,13
K100+105,2,3,4,5,6,7,8,9,10,11,12,13
K100+106,2,3,4,5,6,7,8,9,10,11,12,13
K100+107,2,3,4,5,6,7,8,9,10,11,12,13
K100+108,2,3,4,5,6,7,8,9,10,11,12,13
K100+109,2,3,4,5,6,7,8,9,10,11,12,13
K100+110,2,3,4,5,6,7,8,9,10,11,12,13
K100+111,2,3,4,5,6,7,8,9,10,11,12,13
K100+112,2,3,4,5,6,7,8,9,10,11,12,13
K100+113,2,3,4,5,6,7,8,9,10,11,12,13
K100+114,2,3,4,5,6,7,8,9,10,11,12,13
K100+115,2,3,4,5,6,7,8,9,10,11,12,13
K100+116,2,3,4,5,6,7,8,9,10,11,12,13
