桩号（km）,经度,纬度,海拔高度（m）,有效性
592.657,105.777458,33.538010,1000.800,A
592.695,105.777495,33.5380450,1000.404739,A
592.734,105.777512,33.5380590,1000.208591,A
592.772,105.777539,33.5380830,1000.010002,A
592.812,105.777575,33.538113,999.730941,A
592.849,105.777620,33.538150,999.427167,A
592.888,105.777624,33.5381540,999.135197,A
592.926,105.777624,33.5381540,998.837901,A
592.959,105.777624,33.5381540,998.300391,A
592.999,105.777770,33.538281,997.922509,A
593.037,105.777791,33.5383010,997.526063,A
593.077,105.777838,33.5383440,997.147011,A
593.111,105.777845,33.538350,996.710897,A
593.153,105.777897,33.5383990,996.436795,A
593.186,105.777905,33.5384060,996.103422,A
593.227,105.777905,33.5384060,995.552705,A
593.264,105.777995,33.5384940,995.130558,A
593.301,105.778026,33.5385250,994.53327,A

