桩号（km）,左车辙RD1（mm）,右车辙RD2（mm）,路面车辙RD（mm）
0,14.09,13.49,14.09
1,9.46,16.2,16.2
2,11.94,11.16,11.94
3,7.9,10.1,10.1
4,9.81,10.01,10.01
5,6.04,16.85,16.85
6,9.8,13.74,13.74
7,4.17,6.47,6.47
8,3.15,11.89,11.89
9,2.88,8.55,8.55
10,4.28,13.08,13.08
11,2.12,10.47,10.47
12,3.17,11.51,11.51
13,5.45,7.94,7.94
14,8.06,7.15,8.06
15,9.57,9.84,9.84
16,6.4,14.1,14.1
17,9.56,21.52,21.52
18,9.65,14,14
19,9.45,12.49,12.49
20,7.25,6.88,7.25
21,8.61,6.86,8.61
22,6.6,10.3,10.3
23,4.39,11.21,11.21
24,9.42,20.97,20.97
25,14.71,15.36,15.36
26,9.22,16.36,16.36
27,13.38,21.52,21.52
28,9.37,19.47,19.47
29,7.42,18.1,18.1
