桩号（km）,左加速度（m/s2）,右加速度（m/s2）,速度（m/s）
0.01,9.8,9.9,22
0.02,9.8,9.9,23
0.03,9.8,9.9,24
0.04,9.8,9.9,20
0.05,9.8,9.9,18
0.06,9.8,9.9,20
0.07,9.8,9.9,21
0.08,9.8,9.9,20
0.09,9.8,9.9,23
0.1,9.8,9.9,21
0.11,9.8,9.9,22
0.12,9.8,9.9,22
0.13,9.8,9.9,21
0.14,9.8,9.9,21
0.15,9.8,9.9,21
0.16,9.8,9.9,21
0.17,9.8,9.9,21
0.18,9.8,9.9,21
0.19,9.8,9.9,21
0.2,9.8,9.9,21
0.21,9.8,9.9,21
0.22,9.8,9.9,21
0.23,9.8,9.9,21
0.24,9.8,9.9,21
0.25,9.8,9.9,21
0.26,9.8,9.9,21
0.27,9.8,9.9,21
0.28,9.8,9.9,21
0.29,9.8,9.9,23
0.3,9.8,9.9,20
