×®ºÅ£¨km£©,MPD_L£¨mm£©,MPD_C£¨mm£©,MPD_R£¨mm£©
0,0.703892857,0.656607143,0.6545
1,0.7251,0.7024,0.6471
2,0.7329,0.6781,0.6443
3,0.7428,0.6967,0.6457
4,0.744,0.6901,0.6362
5,0.7759,0.7179,0.7197
6,0.8519,0.7398,0.8148
7,0.8037,0.7219,0.753
8,0.8735,0.8186,0.8119
9,0.8754,0.7909,0.8174
10,0.8212,0.7703,0.7485
11,0.8343,0.8181,0.7617
12,0.7993,0.7824,0.74
13,0.8335,0.8176,0.8017
14,0.7878,0.7714,0.779
15,0.7655,0.7323,0.7582
16,0.8347,0.7615,0.7294
17,0.8084,0.6933,0.7178
18,0.8057,0.7634,0.7583
19,0.7519,0.7447,0.7221
20,0.747,0.6928,0.7433
