桩号（km）,识别宽度（m）,破损率dr(%),网裂（㎡）,纵向裂缝（m）,横向裂缝（m）,坑槽（㎡）
0.046,2.4,1.14,0,1.212,0,0.031
0.056,2.4,0,0,0,0,0
0.066,2.4,0,0,0,0,0
0.076,2.4,5.15,0.424,4.061,0,0
0.086,2.4,0,0,0,0,0
0.096,2.4,0,0,0,0,0
0.106,2.4,0,0,0,0,0
0.116,2.4,0,0,0,0,0
0.126,2.4,24.63,5.5,2.06,0,0
0.136,2.4,0,0,0,0,0
0.146,2.4,0,0,0,0,0
0.156,2.4,0,0,0,0,0
0.166,2.4,0,0,0,0,0
0.176,2.4,1.78,0,0,2.139,0
0.186,2.4,0,0,0,0,0
0.196,2.4,0,0,0,0,0
0.206,2.4,0,0,0,0,0
0.216,2.4,0,0,0,0,0
0.226,2.4,0,0,0,0,0
0.236,2.4,0,0,0,0,0
0.246,2.4,0,0,0,0,0
0.256,2.4,0.19,0,0.223,0,0
0.266,2.4,0,0,0,0,0
0.276,2.4,0,0,0,0,0
0.286,2.4,0,0,0,0,0
0.296,2.4,0,0,0,0,0
0.306,2.4,0,0,0,0,0
0.316,2.4,0,0,0,0,0
0.326,2.4,0,0,0,0,0
0.336,2.4,0,0,0,0,0
0.346,2.4,0,0,0,0,0
0.356,2.4,0,0,0,0,0
0.366,2.4,0,0,0,0,0
0.376,2.4,0,0,0,0,0
0.386,2.4,0,0,0,0,0
0.396,2.4,0,0,0,0,0
0.406,2.4,0,0,0,0,0
0.416,2.4,0,0,0,0,0
0.426,2.4,0,0,0,0,0
0.436,2.4,0,0,0,0,0
0.446,2.4,0,0,0,0,0
0.456,2.4,0,0,0,0,0
0.466,2.4,0,0,0,0,0
0.476,2.4,0.22,0,0.269,0,0
0.486,2.4,0,0,0,0,0
0.496,2.4,0,0,0,0,0
0.506,2.4,0,0,0,0,0
0.516,2.4,0,0,0,0,0
0.526,2.4,0,0,0,0,0
0.536,2.4,0,0,0,0,0
0.546,2.4,0,0,0,0,0
0.556,2.4,0,0,0,0,0
0.566,2.4,0,0,0,0,0
0.576,2.4,0,0,0,0,0
0.586,2.4,0,0,0,0,0
0.596,2.4,0,0,0,0,0
0.606,2.4,0,0,0,0,0
0.616,2.4,0,0,0,0,0
0.626,2.4,0,0,0,0,0
0.636,2.4,0,0,0,0,0
0.646,2.4,0,0,0,0,0
0.656,2.4,0,0,0,0,0
0.666,2.4,0,0,0,0,0
0.676,2.4,0,0,0,0,0
0.686,2.4,0,0,0,0,0
0.696,2.4,0,0,0,0,0
0.706,2.4,0,0,0,0,0
0.716,2.4,0,0,0,0,0
0.726,2.4,0,0,0,0,0
0.736,2.4,0,0,0,0,0
0.746,2.4,0,0,0,0,0
0.756,2.4,0,0,0,0,0
0.766,2.4,0,0,0,0,0
0.776,2.4,0,0,0,0,0
0.786,2.4,0,0,0,0,0
0.796,2.4,0,0,0,0,0
0.806,2.4,0,0,0,0,0
0.816,2.4,0,0,0,0,0
0.826,2.4,0,0,0,0,0
0.836,2.4,0,0,0,0,0
0.846,2.4,0,0,0,0,0
0.856,2.4,0,0,0,0,0
0.866,2.4,0,0,0,0,0
0.876,2.4,0,0,0,0,0
0.886,2.4,0,0,0,0,0
0.896,2.4,0,0,0,0,0
0.906,2.4,0,0,0,0,0
0.916,2.4,0,0,0,0,0
0.926,2.4,0,0,0,0,0
0.936,2.4,0,0,0,0,0
0.946,2.4,0,0,0,0,0
0.956,2.4,0,0,0,0,0
0.966,2.4,0,0,0,0,0
0.976,2.4,0,0,0,0,0
0.986,2.4,0,0,0,0,0
0.996,2.4,0,0,0,0,0
1.006,2.4,0,0,0,0,0
1.016,2.4,0,0,0,0,0
1.026,2.4,0,0,0,0,0
1.036,2.4,0,0,0,0,0
1.046,2.4,0,0,0,0,0
1.056,2.4,0,0,0,0,0
1.066,2.4,0,0,0,0,0
1.076,2.4,0,0,0,0,0
1.086,2.4,0,0,0,0,0
1.096,2.4,0,0,0,0,0
1.106,2.4,0,0,0,0,0
1.116,2.4,0,0,0,0,0
1.126,2.4,0,0,0,0,0
1.136,2.4,0,0,0,0,0
1.146,2.4,0,0,0,0,0
1.156,2.4,0,0,0,0,0
1.166,2.4,0,0,0,0,0
1.176,2.4,0,0,0,0,0
1.186,2.4,0,0,0,0,0
1.196,2.4,0,0,0,0,0
1.206,2.4,0,0,0,0,0
1.216,2.4,0,0,0,0,0
1.226,2.4,0,0,0,0,0
1.236,2.4,0,0,0,0,0
1.246,2.4,0,0,0,0,0
1.256,2.4,0,0,0,0,0
1.266,2.4,0,0,0,0,0
1.276,2.4,0,0,0,0,0
1.286,2.4,0,0,0,0,0
1.296,2.4,0,0,0,0,0
1.306,2.4,0,0,0,0,0
1.316,2.4,0,0,0,0,0
1.326,2.4,0,0,0,0,0
1.336,2.4,0,0,0,0,0
1.346,2.4,0,0,0,0,0
1.356,2.4,0,0,0,0,0
1.366,2.4,0,0,0,0,0
1.376,2.4,0,0,0,0,0
1.386,2.4,0,0,0,0,0
1.396,2.4,0,0,0,0,0
1.406,2.4,0,0,0,0,0
1.416,2.4,0,0,0,0,0
1.426,2.4,0,0,0,0,0
1.436,2.4,0,0,0,0,0
1.446,2.4,0,0,0,0,0
1.456,2.4,0,0,0,0,0
1.466,2.4,0,0,0,0,0
1.476,2.4,0,0,0,0,0
1.486,2.4,0,0,0,0,0
1.496,2.4,0,0,0,0,0
1.506,2.4,0,0,0,0,0
1.516,2.4,0,0,0,0,0
1.526,2.4,0,0,0,0,0
1.536,2.4,0,0,0,0,0
1.546,2.4,0,0,0,0,0
1.556,2.4,0,0,0,0,0
1.566,2.4,0,0,0,0,0
1.576,2.4,0,0,0,0,0
1.586,2.4,0,0,0,0,0
1.596,2.4,0,0,0,0,0
1.606,2.4,0,0,0,0,0
1.616,2.4,0,0,0,0,0
1.626,2.4,0,0,0,0,0
1.636,2.4,0,0,0,0,0
1.646,2.4,0,0,0,0,0
1.656,2.4,0,0,0,0,0
1.666,2.4,0,0,0,0,0
1.676,2.4,0,0,0,0,0
1.686,2.4,0,0,0,0,0
1.696,2.4,0,0,0,0,0
