起点桩号(km),IRI_左(m/km),IRI_右(m/km),IRI(m/km),速度(m/s)
2.174,30.23,30.23,6.08,60
2.17,75.79,75.79,14.55,60
2.16,41.79,41.79,18.42,60
2.15,33.91,33.91,26.29,60
2.14,59.21,59.21,29.83,60
2.13,54.36,54.36,30.59,60
2.12,48.96,48.96,0.046,60
2.11,49.38,49.38,34.76,60
2.1,31.03,31.03,34.85,60
2.09,20.99,20.99,34.41,60
2.08,6.93,6.93,34.29,60
2.07,7.62,7.62,34.93,60
2.06,2.58,2.58,32.24,60
2.05,2.1,2.1,29.9,60
2.04,7.47,7.47,24.9,60
2.03,6.68,6.68,23.18,60
2.02,3.01,3.01,24.58,60
2.01,28.69,28.69,27.49,60
2,15.37,15.37,32,60
1.99,21.48,21.48,35.18,60
1.98,7.02,7.02,36.28,60
1.97,15.45,15.45,39.58,60
1.96,0.67,0.67,40.83,60
1.95,5.93,5.93,42.62,60
1.94,8.7,8.7,43.4,60
1.93,20.49,20.49,45.56,60
1.92,1.86,1.86,45.98,60
1.91,11.52,11.52,47.28,60
1.9,47.88,47.88,47.96,60
1.89,62.68,62.68,48.12,60
1.88,39.65,39.65,48.84,60
1.87,10.86,10.86,49.14,60
1.86,34.84,34.84,49.83,60
1.85,26.42,26.42,50.42,60
1.84,8.21,8.21,50.98,60
1.83,2.46,2.46,51.87,60
1.82,41.86,41.86,52.15,60
1.81,82.45,82.45,52.55,60
1.8,43.55,43.55,52.68,60
1.79,10.4,10.4,53.31,60
1.78,33.81,33.81,53.64,60
1.77,44.89,44.89,54.3,60
1.76,35.84,35.84,54.69,60
1.75,22.96,22.96,55.03,60
1.74,14.15,14.15,55.5,60
1.73,17.75,17.75,55.66,60
1.72,29.95,29.95,56.06,60
1.71,28.01,28.01,56.14,60
1.7,15.53,15.53,56.47,60
1.69,52.28,52.28,56.55,60
1.68,59.74,59.74,56.68,60
1.67,77.71,77.71,56.68,60
1.66,51.7,51.7,56.45,60
1.65,12.85,12.85,56.4,60
1.64,9.23,9.23,56.2,60
1.63,1.6,1.6,56.34,60
1.62,3.7,3.7,56.58,60
1.61,18.6,18.6,56.83,60
1.6,35.26,35.26,57.01,60
1.59,39.79,39.79,57.33,60
1.58,21.05,21.05,57.41,60
1.57,5.28,5.28,57.11,60
1.56,1.69,1.69,57.1,60
1.55,1.25,1.25,56.83,60
1.54,2.3,2.3,56.66,60
1.53,4.73,4.73,55.8,60
1.52,2.04,2.04,55.54,60
1.51,1.84,1.84,52.51,60
1.5,2.51,2.51,48.81,60
1.49,1.89,1.89,48,60
1.48,1.38,1.38,47.48,60
1.47,5.91,5.91,48.03,60
1.46,56.73,56.73,49.8,60
1.45,6.86,6.86,51.14,60
1.44,73.54,73.54,52.83,60
1.43,2.27,2.27,54.29,60
1.42,1.41,1.41,55.08,60
1.41,1.77,1.77,55.74,60
1.4,1.99,1.99,55.89,60
1.39,4.71,4.71,56.47,60
1.38,33.52,33.52,56.71,60
1.37,50.14,50.14,57.36,60
1.36,55.41,55.41,56.97,60
1.35,86.08,86.08,56.53,60
1.34,49.63,49.63,56.07,60
1.33,32.84,32.84,54.5,60
1.32,23.91,23.91,52.16,60
1.31,55.3,55.3,51.63,60
1.3,10.71,10.71,49.44,60
1.29,4.72,4.72,49.51,60
1.28,1.52,1.52,49.69,60
1.27,2.24,2.24,50.61,60
1.26,2.07,2.07,51.52,60
1.25,8.52,8.52,51.37,60
1.24,1.84,1.84,51.31,60
1.23,2.27,2.27,51.36,60
1.22,12,12,51.61,60
1.21,64.18,64.18,53.42,60
1.2,50.2,50.2,53.98,60
1.19,14.85,14.85,55.15,60
1.18,1.79,1.79,56.08,60
1.17,27.75,27.75,56.89,60
1.16,2.86,2.86,57.72,60
1.15,36.64,36.64,58.02,60
1.14,4.34,4.34,58.84,60
1.13,23.84,23.84,58.89,60
1.12,7.7,7.7,59.26,60
1.11,1.57,1.57,59.55,60
1.1,3.55,3.55,60.32,60
1.09,2.48,2.48,60.57,60
1.08,1.26,1.26,59.55,60
1.07,0.78,0.78,59.51,60
1.06,1.08,1.08,58.43,60
1.05,6.65,6.65,57.63,60
1.04,4.31,4.31,56.09,60
1.03,3.84,3.84,55.65,60
1.02,1.26,1.26,54.05,60
1.01,2.23,2.23,53.77,60
1,0.5,0.5,52.68,60
0.99,0.6,0.6,52.23,60
0.98,2.06,2.06,51.53,60
0.97,2.53,2.53,51.61,60
0.96,11.78,11.78,51.66,60
0.95,2.36,2.36,52.58,60
0.94,3.23,3.23,52.82,60
0.93,0.95,0.95,53.68,60
0.92,4.2,4.2,53.52,60
0.91,2.38,2.38,52.95,60
0.9,5.91,5.91,53.17,60
0.89,64,64,53.46,60
0.88,1.31,1.31,54.12,60
0.87,1.77,1.77,54.51,60
0.86,0.76,0.76,55.07,60
0.85,1.17,1.17,55.19,60
0.84,1.64,1.64,55.35,60
0.83,1.83,1.83,55.32,60
0.82,4.31,4.31,55.22,60
0.81,2.45,2.45,55.27,60
0.8,2.51,2.51,55.33,60
0.79,3.77,3.77,55.53,60
0.78,62.79,62.79,55.64,60
0.77,32.17,32.17,55.34,60
0.76,2.03,2.03,55.19,60
0.75,1.1,1.1,53.85,60
0.74,4.01,4.01,53.63,60
0.73,1.18,1.18,53.06,60
0.72,1.58,1.58,52.77,60
0.71,2.91,2.91,52.47,60
0.7,3.38,3.38,52.02,60
0.69,2.33,2.33,51.82,60
0.68,38.77,38.77,51.56,60
0.67,29.7,29.7,51.47,60
0.66,1.28,1.28,50.88,60
0.65,35.5,35.5,50.47,60
0.64,5.55,5.55,49.52,60
0.63,27.85,27.85,49.22,60
0.62,3.21,3.21,49.24,60
0.61,26.52,26.52,49.28,60
0.6,2.64,2.64,49.33,60
0.59,13.16,13.16,49.39,60
0.58,1.53,1.53,49.88,60
0.57,1.65,1.65,50.41,60
0.56,1.89,1.89,50.82,60
0.55,1.55,1.55,51.17,60
0.54,0.89,0.89,51.3,60
0.53,3.42,3.42,51.54,60
0.52,0.99,0.99,51.56,60
0.51,1.48,1.48,51.56,60
0.5,1.22,1.22,51.46,60
0.49,5.79,5.79,51.29,60
0.48,3.54,3.54,51.45,60
0.47,4.74,4.74,51.58,60
0.46,4.11,4.11,51.22,60
0.45,2.39,2.39,51.12,60
0.44,2.84,2.84,50.55,60
0.43,2.48,2.48,50.37,60
0.42,9.6,9.6,50.33,60
0.41,3.75,3.75,51.14,60
0.4,3.27,3.27,51.3,60
0.39,1.45,1.45,51.92,60
0.38,5.97,5.97,51.52,60
0.37,2.9,2.9,50.91,60
0.36,1.31,1.31,50.46,60
0.35,3.18,3.18,50.16,60
0.34,2.99,2.99,50.05,60
0.33,5.1,5.1,49.56,60
0.32,3.9,3.9,49.27,60
0.31,5.56,5.56,49.61,60
0.3,3.55,3.55,49.67,60
0.29,3.32,3.32,49.36,60
0.28,1.99,1.99,49.09,60
0.27,2.81,2.81,48.18,60
0.26,3.6,3.6,47.6,60
0.25,3.2,3.2,47.39,60
0.24,2.31,2.31,46.73,60
0.23,2.58,2.58,46.88,60
0.22,1.58,1.58,47.29,60
0.21,5.66,5.66,47.97,60
0.2,18.98,18.98,48.22,60
0.19,4.37,4.37,48.52,60
0.18,6.98,6.98,47.92,60
0.17,24.94,24.94,47.34,60
0.16,34.09,34.09,47.03,60
0.15,43.95,43.95,46.52,60
0.14,31.91,31.91,45.79,60
0.13,33.89,33.89,45.27,60
0.12,15.91,15.91,44.14,60
0.11,9.18,9.18,42.48,60
0.1,12.07,12.07,40.42,60
0.09,34.24,34.24,38.16,60
0.08,36.09,36.09,36.58,60
0.07,8.32,8.32,35.25,60
0.06,7.02,7.02,33.65,60
0.05,53.66,53.66,31.5,60
