桩号（km）,经度,纬度,有效性
2.174,117.540164,31.743529,A,
2.164,117.540080,31.743517,A,
2.154,117.539975,31.743503,A,
2.144,117.539871,31.743487,A,
2.134,117.539765,31.743471,A,
2.124,117.539664,31.743456,A,
2.114,117.539558,31.743441,A,
2.104,117.539456,31.743426,A,
2.094,117.539344,31.743409,A,
2.084,117.539234,31.743391,A,
2.074,117.539133,31.743376,A,
2.064,117.539014,31.743358,A,
2.054,117.538911,31.743341,A,
2.044,117.538800,31.743324,A,
2.034,117.538692,31.743306,A,
2.024,117.538589,31.743290,A,
2.014,117.538490,31.743273,A,
2.004,117.538392,31.743255,A,
1.994,117.538291,31.743237,A,
1.984,117.538188,31.743220,A,
1.974,117.538086,31.743204,A,
1.964,117.537980,31.743188,A,
1.954,117.537871,31.743171,A,
1.944,117.537770,31.743155,A,
1.934,117.537665,31.743137,A,
1.924,117.537559,31.743117,A,
1.914,117.537464,31.743099,A,
1.904,117.537354,31.743077,A,
1.894,117.537243,31.743056,A,
1.884,117.537145,31.743038,A,
1.874,117.537031,31.743020,A,
1.864,117.536930,31.743006,A,
1.854,117.536827,31.742993,A,
1.844,117.536723,31.742980,A,
1.834,117.536617,31.742967,A,
1.824,117.536511,31.742952,A,
1.814,117.536405,31.742937,A,
1.804,117.536298,31.742920,A,
1.794,117.536190,31.742903,A,
1.784,117.536081,31.742885,A,
1.774,117.535987,31.742870,A,
1.764,117.535876,31.742851,A,
1.754,117.535765,31.742832,A,
1.744,117.535669,31.742816,A,
1.734,117.535557,31.742797,A,
1.724,117.535444,31.742777,A,
1.714,117.535347,31.742761,A,
1.704,117.535249,31.742745,A,
1.694,117.535135,31.742726,A,
1.684,117.535021,31.742707,A,
1.674,117.534923,31.742690,A,
1.664,117.534825,31.742674,A,
1.654,117.534712,31.742655,A,
1.644,117.534599,31.742636,A,
1.634,117.534501,31.742619,A,
1.624,117.534404,31.742602,A,
1.614,117.534289,31.742583,A,
1.604,117.534191,31.742566,A,
1.594,117.534075,31.742546,A,
1.584,117.533977,31.742529,A,
1.574,117.533878,31.742512,A,
1.564,117.533764,31.742493,A,
1.554,117.533649,31.742475,A,
1.544,117.533552,31.742459,A,
1.534,117.533441,31.742441,A,
1.524,117.533333,31.742424,A,
1.514,117.533231,31.742408,A,
1.504,117.533121,31.742390,A,
1.494,117.533025,31.742375,A,
1.484,117.532915,31.742358,A,
1.474,117.532801,31.742341,A,
1.464,117.532713,31.742327,A,
1.454,117.532591,31.742307,A,
1.444,117.532498,31.742291,A,
1.434,117.532402,31.742276,A,
1.424,117.532290,31.742257,A,
1.414,117.532178,31.742239,A,
1.404,117.532080,31.742224,A,
1.394,117.531982,31.742208,A,
1.384,117.531866,31.742190,A,
1.374,117.531750,31.742172,A,
1.364,117.531652,31.742157,A,
1.354,117.531540,31.742140,A,
1.344,117.531430,31.742124,A,
1.334,117.531323,31.742108,A,
1.324,117.531220,31.742092,A,
1.314,117.531106,31.742074,A,
1.304,117.531006,31.742060,A,
1.294,117.530906,31.742046,A,
1.284,117.530803,31.742031,A,
1.274,117.530699,31.742016,A,
1.264,117.530580,31.742000,A,
1.254,117.530477,31.741984,A,
1.244,117.530373,31.741968,A,
1.234,117.530282,31.741954,A,
1.224,117.530173,31.741938,A,
1.214,117.530063,31.741921,A,
1.204,117.529967,31.741906,A,
1.194,117.529853,31.741888,A,
1.184,117.529753,31.741872,A,
1.174,117.529637,31.741852,A,
1.164,117.529536,31.741837,A,
1.154,117.529434,31.741822,A,
1.144,117.529331,31.741808,A,
1.134,117.529228,31.741793,A,
1.124,117.529124,31.741779,A,
1.114,117.529019,31.741764,A,
1.104,117.528898,31.741746,A,
1.094,117.528794,31.741730,A,
1.084,117.528693,31.741715,A,
1.074,117.528577,31.741698,A,
1.064,117.528479,31.741684,A,
1.054,117.528367,31.741667,A,
1.044,117.528256,31.741651,A,
1.034,117.528164,31.741636,A,
1.024,117.528041,31.741618,A,
1.014,117.527951,31.741604,A,
1.004,117.527832,31.741586,A,
0.994,117.527729,31.741570,A,
0.984,117.527624,31.741554,A,
0.974,117.527518,31.741538,A,
0.964,117.527411,31.741523,A,
0.954,117.527302,31.741508,A,
0.944,117.527194,31.741494,A,
0.934,117.527102,31.741482,A,
0.924,117.526979,31.741464,A,
0.914,117.526886,31.741451,A,
0.904,117.526776,31.741434,A,
0.894,117.526666,31.741416,A,
0.884,117.526571,31.741400,A,
0.874,117.526460,31.741381,A,
0.864,117.526348,31.741363,A,
0.854,117.526252,31.741350,A,
0.844,117.526140,31.741337,A,
0.834,117.526028,31.741324,A,
0.824,117.525932,31.741311,A,
0.814,117.525819,31.741297,A,
0.804,117.525722,31.741284,A,
0.794,117.525609,31.741270,A,
0.784,117.525514,31.741257,A,
0.774,117.525389,31.741239,A,
0.764,117.525296,31.741227,A,
0.754,117.525189,31.741212,A,
0.744,117.525082,31.741197,A,
0.734,117.524976,31.741182,A,
0.724,117.524871,31.741167,A,
0.714,117.524752,31.741150,A,
0.704,117.524663,31.741137,A,
0.694,117.524544,31.741119,A,
0.684,117.524442,31.741104,A,
0.674,117.524341,31.741089,A,
0.664,117.524227,31.741073,A,
0.654,117.524128,31.741058,A,
0.644,117.524014,31.741042,A,
0.634,117.523914,31.741029,A,
0.624,117.523800,31.741013,A,
0.614,117.523699,31.741000,A,
0.604,117.523597,31.740986,A,
0.594,117.523480,31.740971,A,
0.584,117.523377,31.740957,A,
0.574,117.523273,31.740943,A,
0.564,117.523169,31.740928,A,
0.554,117.523064,31.740914,A,
0.544,117.522959,31.740900,A,
0.534,117.522855,31.740885,A,
0.524,117.522736,31.740869,A,
0.514,117.522632,31.740854,A,
0.504,117.522527,31.740838,A,
0.494,117.522424,31.740822,A,
0.484,117.522321,31.740805,A,
0.474,117.522204,31.740787,A,
0.464,117.522103,31.740771,A,
0.454,117.522001,31.740756,A,
0.444,117.521898,31.740742,A,
0.434,117.521794,31.740727,A,
0.424,117.521674,31.740711,A,
0.414,117.521585,31.740698,A,
0.404,117.521467,31.740681,A,
0.394,117.521365,31.740665,A,
0.384,117.521263,31.740650,A,
0.374,117.521147,31.740632,A,
0.364,117.521047,31.740617,A,
0.354,117.520947,31.740603,A,
0.344,117.520833,31.740587,A,
0.334,117.520718,31.740572,A,
0.324,117.520618,31.740558,A,
0.314,117.520520,31.740544,A,
0.304,117.520409,31.740529,A,
0.294,117.520298,31.740513,A,
0.284,117.520189,31.740498,A,
0.274,117.520081,31.740482,A,
0.264,117.519986,31.740469,A,
0.254,117.519876,31.740454,A,
0.244,117.519779,31.740440,A,
0.234,117.519667,31.740425,A,
0.224,117.519555,31.740410,A,
0.214,117.519444,31.740396,A,
0.204,117.519348,31.740383,A,
0.194,117.519239,31.740367,A,
0.184,117.519132,31.740351,A,
0.174,117.519025,31.740336,A,
0.164,117.518920,31.740321,A,
0.154,117.518806,31.740304,A,
0.144,117.518709,31.740289,A,
0.134,117.518592,31.740272,A,
0.124,117.518483,31.740255,A,
0.114,117.518377,31.740237,A,
0.104,117.518276,31.740220,A,
0.094,117.518169,31.740204,A,
0.084,117.518060,31.740191,A,
0.074,117.517943,31.740179,A,
0.064,117.517825,31.740165,A,
0.054,117.517700,31.740149,A,
