×®ºÅ(km),MPD_L(mm),MPD_C(mm),MPD_R(mm)
0.000,0.68,0.86,0.68
0.010,0.75,0.98,0.82
0.020,0.59,0.66,0.68
0.030,0.58,0.65,0.80
0.040,0.65,0.66,0.91
0.050,0.77,0.99,1.26
0.060,0.57,0.73,0.96
0.070,0.57,0.68,1.01
0.080,0.52,0.67,1.05
0.090,0.60,0.64,1.05
0.100,0.62,0.66,1.09
0.110,0.58,0.69,1.06
0.120,0.59,0.64,0.96
0.130,0.61,0.67,1.04
0.140,0.63,0.69,0.93
0.150,0.58,0.70,1.00
0.160,0.51,0.61,0.90
0.170,0.64,0.59,1.02
0.180,0.53,0.55,0.98
0.190,0.56,0.53,0.72
0.200,0.54,0.57,0.60
0.210,0.53,0.62,0.61
0.220,0.59,0.57,0.59
0.230,0.53,0.59,0.60
0.240,0.56,0.59,0.57
0.250,0.57,0.57,0.68
0.260,0.58,0.54,0.66
0.270,0.56,0.58,0.58
0.280,0.56,0.65,0.69
0.290,0.57,0.67,0.91
0.300,0.63,0.67,0.83
0.310,0.59,0.66,0.71
0.320,0.56,0.61,0.61
0.330,0.56,0.60,0.85
0.340,0.56,0.61,0.76
0.350,0.51,0.59,0.75
0.360,0.52,0.60,0.72
0.370,0.53,0.59,0.77
0.380,0.51,0.58,0.85
0.390,0.50,0.60,0.73
0.400,0.50,0.56,0.71
0.410,0.46,0.62,0.77
0.420,0.58,0.66,0.80
0.430,0.61,0.81,0.77
0.440,0.63,0.69,0.85
0.450,0.60,0.64,1.05
0.460,0.53,0.67,0.69
0.470,0.61,0.62,0.65
0.480,0.62,0.68,0.84
0.490,0.56,0.69,0.84
0.500,0.57,0.69,0.85
0.510,0.56,0.64,0.64
0.520,0.52,0.59,0.54
0.530,0.45,0.49,0.48
0.540,0.55,0.56,0.65
0.550,0.49,0.57,0.75
0.560,0.56,0.69,0.98
0.570,0.80,0.91,1.17
0.580,0.84,0.81,0.99
0.590,0.73,0.72,0.90
0.600,0.79,0.76,0.88
0.610,0.82,0.92,1.26
0.620,0.74,0.82,1.29
0.630,0.76,0.88,1.26
0.640,1.03,1.10,1.54
0.650,0.86,0.91,1.28
0.660,0.84,0.89,1.23
0.670,0.82,0.87,0.95
0.680,0.93,0.95,0.96
0.690,0.80,0.87,0.87
0.700,0.81,0.83,0.94
0.710,0.94,0.90,1.08
0.720,0.99,0.93,1.11
0.730,0.70,0.60,0.99
0.740,0.56,0.58,0.78
0.750,0.51,0.64,0.63
0.760,0.52,0.63,0.73
0.770,0.54,0.66,0.79
0.780,0.48,0.58,0.80
0.790,0.48,0.62,0.67
0.800,0.50,0.59,0.62
0.810,0.48,0.56,0.61
0.820,0.51,0.63,0.73
0.830,0.53,0.65,0.62
0.840,0.47,0.56,0.70
0.850,0.50,0.61,0.83
0.860,0.56,0.71,1.04
0.870,0.55,0.67,1.02
0.880,0.70,0.71,1.00
0.890,0.65,0.74,0.96
0.900,0.60,0.68,0.93
0.910,0.60,0.63,0.86
0.920,0.52,0.59,0.85
0.930,0.61,0.58,0.90
0.940,0.48,0.57,0.72
0.950,0.54,0.66,0.96
0.960,0.48,0.60,0.75
0.970,0.62,0.51,0.77
0.980,0.52,0.64,0.79
0.990,0.56,0.62,0.90
1.000,0.53,0.55,0.85
1.010,0.56,0.51,0.88
1.020,0.61,0.63,1.13
1.030,0.63,0.80,0.84
1.040,0.56,0.67,1.01
1.050,0.60,0.62,1.07
1.060,0.60,0.68,1.25
1.070,0.57,0.64,1.12
1.080,0.63,0.71,1.07
1.090,0.66,0.67,0.98
1.100,0.58,0.62,0.94
1.110,0.61,0.63,0.97
1.120,0.57,0.67,1.06
1.130,0.68,0.67,0.99
1.140,0.53,0.56,0.91
1.150,0.54,0.51,0.84
1.160,0.66,0.65,0.61
1.170,0.63,0.60,0.55
1.180,0.54,0.63,0.54
1.190,0.50,0.62,0.51
1.200,0.56,0.61,0.49
1.210,0.52,0.56,0.52
1.220,0.53,0.53,0.45
1.230,0.54,0.56,0.49
1.240,0.64,0.67,0.59
1.250,0.50,0.55,0.47
1.260,0.46,0.50,0.43
1.270,0.51,0.53,0.47
1.280,0.45,0.47,0.48
1.290,0.46,0.52,0.46
1.300,0.45,0.49,0.46
1.310,0.48,0.53,0.48
1.320,0.49,0.55,0.51
1.330,0.51,0.57,0.74
1.340,0.50,0.58,0.85
1.350,0.55,0.60,0.92
1.360,0.55,0.55,0.87
1.370,0.54,0.58,1.04
1.380,0.56,0.56,1.00
1.390,0.51,0.56,0.87
1.400,0.53,0.65,1.04
1.410,0.52,0.62,1.00
1.420,0.56,0.65,1.03
1.430,0.53,0.61,1.16
1.440,0.55,0.66,1.02
1.450,0.61,0.66,1.01
1.460,0.45,0.61,0.92
1.470,0.49,0.53,0.90
1.480,0.49,0.53,0.82
1.490,0.46,0.51,0.81
1.500,0.47,0.49,0.73
1.510,0.42,0.47,0.69
