桩号(km),高程值1(0.1mm),高程值2(0.1mm),高程值3(0.1mm),高程值4(0.1mm),高程值5(0.1mm),高程值6(0.1mm),高程值7(0.1mm),高程值8(0.1mm),高程值9(0.1mm),高程值10(0.1mm),高程值11(0.1mm),高程值12(0.1mm),高程值13(0.1mm),速度(km/h)
0.0001,-56.72,-27.17,5.29,25.31,47.24,58.42,55.9,39.07,-6.05,-33.68,-43.94,-9.96,11.29,0
0.0002,-56.28,-28.17,11.99,32.87,47.62,53.51,47.45,34.77,-10.57,-38.5,-42.1,-5.33,17.75,0
0.0003,-64.08,-25.67,21.25,37.76,43.46,49.7,46.02,22.6,-0.86,-30.71,-41.86,-6.46,13.86,0
0.0004,-73.54,-21.31,31.79,42.19,40.82,43.95,43.17,7.68,4.32,-24.73,-30.15,1.77,-0.94,0
0.0005,-82.45,-22.72,39.22,51.32,47.97,39.71,34.88,-4.07,-1,-11.89,-21.26,7.64,-12.36,0
0.0006,-89.77,-14.65,47.25,54.45,40.42,40.22,27.96,-18.81,-9.77,10.69,-5.1,-0.47,-17.41,0
0.0007,-93.83,-14.1,50.17,50.89,43.06,48.04,25.86,-24.89,-13.45,7.29,11.78,-4.6,-21.22,0
0.0008,-94.2,-10.1,45.56,49.8,45.39,53.75,19.74,-27.06,-13.56,12.27,6.3,-4.18,-18.7,0
0.0009,-89.46,-6.11,41.07,49.59,42.13,57.34,14.53,-31.66,-16.63,7.45,15.13,-0.13,-18.25,0
0.001,-78.55,-4.8,38.45,43.01,42.11,49.57,8.5,-26.89,-16.8,5.37,18.85,5.51,-19.35,0
0.0011,-61.71,-11.56,37.49,37.65,36.98,45.73,5.5,-22.96,-19.45,6.58,21.52,2.88,-13.64,0
0.0012,-58.17,-8.18,42.49,36.22,33.49,39.37,1.67,-25.62,-18.56,4.24,24.13,-2.08,-4,0
0.0013,-59.16,-1.43,45.55,37.74,31.34,30.81,-4.15,-26.45,-17.23,8.24,24.65,-4.22,-0.69,0
0.0014,-57.71,3.86,47.33,34.44,29.6,25.42,-7.91,-25.92,-15.98,15.08,16.96,-1.58,1.42,0
0.0015,-52.06,16.27,41.52,22.65,23.84,22.13,-5.93,-25.62,-8.68,12.68,12.88,2.81,2.5,0
0.0016,-42.4,8.97,35.76,26.69,27.74,4.01,1.77,-22.8,-6.45,17.42,14.47,0.3,-0.47,0
0.0017,-34.12,3.2,29.02,29.53,31.13,-1.78,2.72,-20.88,-7.69,20.72,10.23,5.84,-2.9,0
0.0018,-32.37,-0.63,21.53,33.74,25.82,8.91,0.19,-16.7,-1.46,16.85,12.01,5.07,-7.97,0
0.0019,-32.72,-2.23,15.98,27.38,24.74,15.19,2.3,1.79,3.87,15.31,4.38,2.47,-13.46,0
0.002,-38.83,-4.46,15.28,22.38,25.22,21.93,6.62,12.15,14.4,16.26,-2.64,-3.06,-20.23,0
