×®ºÅ£¨km£©,Ê¶±ð¿í¶È£¨m£©,ÆÆËðÂÊDR£¨£¥£©,ÆÆËé°å£¨©O£©,ÁÑ·ì£¨m£©,´íÌ¨£¨m£©,¹°Æð£¨©O£©,¿Ó¶´£¨©O£©
3.809,2.7,0,0,0,0,0,0
3.81,2.7,0,0,0,0,0,0
3.82,2.7,0,0,0,0,0,0
3.83,2.7,0,0,0,0,0,0
3.84,2.7,0,0,0,0,0,0
3.85,2.7,2.96296296296296,0,1,0,0,0
3.86,2.7,4.44444444444445,0,1.5,0,0,0
3.87,2.7,6.81481481481482,0,2.3,0,0,0
3.88,2.7,10.2222222222222,1,2.2,0,0,0
3.89,2.7,38,3.22,8.8,0,0,0
3.9,2.7,0,0,0,0,0,0
3.91,2.7,0,0,0,0,0,0
3.92,2.7,0,0,0,0,0,0
3.93,2.7,0,0,0,0,0,0
3.94,2.7,0,0,0,0,0,0
3.95,2.7,0,0,0,0,0,0
3.96,2.7,0,0,0,0,0,0
3.97,2.7,0,0,0,0,0,0
3.98,2.7,0,0,0,0,0,0
3.99,2.7,0,0,0,0,0,0
4,2.7,0,0,0,0,0,0
4.01,2.7,0,0,0,0,0,0
4.02,2.7,0,0,0,0,0,0
4.03,2.7,0,0,0,0,0,0
4.04,2.7,0,0,0,0,0,0
4.05,2.7,0,0,0,0,0,0
4.06,2.7,0,0,0,0,0,0
4.07,2.7,0,0,0,0,0,0
4.08,2.7,0,0,0,0,0,0
4.09,2.7,0,0,0,0,0,0
4.1,2.7,0,0,0,0,0,0
4.11,2.7,0,0,0,0,0,0
4.12,2.7,0,0,0,0,0,0
4.13,2.7,0,0,0,0,0,0
4.14,2.7,0,0,0,0,0,0
4.15,2.7,0,0,0,0,0,0
4.16,2.7,0,0,0,0,0,0
4.17,2.7,0,0,0,0,0,0
4.18,2.7,0,0,0,0,0,0
4.19,2.7,0,0,0,0,0,0
4.2,2.7,0,0,0,0,0,0
4.21,2.7,0,0,0,0,0,0
4.22,2.7,0,0,0,0,0,0
4.23,2.7,0,0,0,0,0,0
4.24,2.7,0,0,0,0,0,0
4.25,2.7,0,0,0,0,0,0
4.26,2.7,0,0,0,0,0,0
4.27,2.7,0,0,0,0,0,0
4.28,2.7,0,0,0,0,0,0
4.29,2.7,0,0,0,0,0,0
4.3,2.7,0,0,0,0,0,0
4.31,2.7,0,0,0,0,0,0
4.32,2.7,3.48148148148148,0.78,0.2,0,0,0
4.33,2.7,17.4814814814815,0,5.9,0,0,0
4.34,2.7,14.8148148148148,0,5,0,0,0
4.35,2.7,2.96296296296296,0,1,0,0,0
4.36,2.7,0,0,0,0,0,0
4.37,2.7,5.03703703703704,0,1.7,0,0,0
4.38,2.7,32.5555555555556,5.19,4.5,0,0,0
4.39,2.7,29.3333333333333,0,9.9,0,0,0
4.4,2.7,48.4444444444444,1.4,14.6,0,0,0
4.41,2.7,33.7777777777778,0,11.4,0,0,0
4.42,2.7,0,0,0,0,0,0
4.43,2.7,0,0,0,0,0,0
4.44,2.7,0,0,0,0,0,0
4.45,2.7,5.03703703703704,0,1.7,0,0,0
4.46,2.7,1.77777777777778,0,0.6,0,0,0
4.47,2.7,30.5185185185185,0.72,9.4,0,0,0
4.48,2.7,67.1851851851852,10.7,9.3,0,0,0
4.49,2.7,25.3333333333333,0.76,7.6,0,0,0
4.5,2.7,2.66666666666667,0,0.9,0,0,0
4.51,2.7,0,0,0,0,0,0
4.52,2.7,6.81481481481482,0,2.3,0,0,0
4.53,2.7,7.11111111111111,0,2.4,0,0,0
4.54,2.7,16.5185185185185,1.1,4.2,0,0,0
4.55,2.7,18.0740740740741,1.52,4.2,0,0,0
4.56,2.7,5.33333333333333,0,1.8,0,0,0
4.57,2.7,8,0,2.7,0,0,0
4.58,2.7,0,0,0,0,0,0
