×®ºÅ£¨km£©,Ê¶±ð¿í¶È£¨m£©,ÆÆËðÂÊ DR£¨£¥£©,ÍøÁÑ£¨©O£©,×ÝÏòÁÑ·ì£¨m£©,ºáÏòÁÑ·ì£¨m£©,¿Ó²Û£¨©O£©
0.523,2.7,0,0,0,0,0
0.53,2.7,0,0,0,0,0
0.54,2.7,0,0,0,0,0
0.55,2.7,0,0,0,0,0
0.56,2.7,0,0,0,0,0
0.57,2.7,5.40740740740741,0,7.3,0,0
0.58,2.7,4.51851851851852,0,5.6,0.5,0
0.59,2.7,0.740740740740741,0,1,0,0
0.6,2.7,0,0,0,0,0
0.61,2.7,0,0,0,0,0
0.62,2.7,0,0,0,0,0
0.63,2.7,0,0,0,0,0
0.64,2.7,0,0,0,0,0
0.65,2.7,0,0,0,0,0
0.66,2.7,0,0,0,0,0
0.67,2.7,0,0,0,0,0
0.68,2.7,0,0,0,0,0
0.69,2.7,0,0,0,0,0
0.7,2.7,0,0,0,0,0
0.71,2.7,1.18518518518519,0,1.6,0,0
0.72,2.7,0,0,0,0,0
0.73,2.7,0,0,0,0,0
0.74,2.7,0,0,0,0,0
0.75,2.7,0,0,0,0,0
0.76,2.7,0,0,0,0,0
0.77,2.7,0,0,0,0,0
0.78,2.7,3.18518518518519,0,4.3,0,0
0.79,2.7,3.62962962962963,0,4.9,0,0
0.8,2.7,0.518518518518519,0,0.7,0,0
0.81,2.7,2.37037037037037,0,3.2,0,0
0.82,2.7,0,0,0,0,0
0.83,2.7,0,0,0,0,0
0.84,2.7,0,0,0,0,0
0.85,2.7,1.33333333333333,0,1.8,0,0
0.86,2.7,2.96296296296296,0,4,0,0
0.87,2.7,0,0,0,0,0
0.88,2.7,0,0,0,0,0
0.89,2.7,0,0,0,0,0
0.9,2.7,0,0,0,0,0
0.91,2.7,0,0,0,0,0
0.92,2.7,3.62962962962963,0,2.3,2.6,0
0.93,2.7,2,0,1.9,0.8,0
0.94,2.7,0,0,0,0,0
0.95,2.7,0,0,0,0,0
0.96,2.7,3.18518518518519,0,4.3,0,0
0.97,2.7,0,0,0,0,0
0.98,2.7,0,0,0,0,0
0.99,2.7,0,0,0,0,0
1,2.7,0,0,0,0,0
1.01,2.7,0,0,0,0,0
1.02,2.7,0,0,0,0,0
1.03,2.7,0,0,0,0,0
1.04,2.7,0,0,0,0,0
1.05,2.7,0,0,0,0,0
1.06,2.7,2.44444444444445,0,1.7,1.6,0
1.07,2.7,0,0,0,0,0
1.08,2.7,0,0,0,0,0
1.09,2.7,0,0,0,0,0
1.1,2.7,0,0,0,0,0
1.11,2.7,0,0,0,0,0
1.12,2.7,0,0,0,0,0
1.13,2.7,0,0,0,0,0
1.14,2.7,0,0,0,0,0
1.15,2.7,0,0,0,0,0
1.16,2.7,0,0,0,0,0
1.17,2.7,0,0,0,0,0
1.18,2.7,0,0,0,0,0
1.19,2.7,0,0,0,0,0
1.2,2.7,0,0,0,0,0
1.21,2.7,0,0,0,0,0
1.22,2.7,0,0,0,0,0
1.23,2.7,0,0,0,0,0
1.24,2.7,0,0,0,0,0
1.25,2.7,0.962962962962963,0,1.3,0,0
1.26,2.7,1.11111111111111,0,1.5,0,0
1.27,2.7,0,0,0,0,0
1.28,2.7,0,0,0,0,0
1.29,2.7,0,0,0,0,0
1.3,2.7,0,0,0,0,0
1.31,2.7,0,0,0,0,0
1.32,2.7,0,0,0,0,0
1.33,2.7,0.37037037037037,0,0,0.5,0
1.34,2.7,0,0,0,0,0
1.35,2.7,0,0,0,0,0
1.36,2.7,0,0,0,0,0
1.37,2.7,0,0,0,0,0
1.38,2.7,0,0,0,0,0
1.39,2.7,0,0,0,0,0
1.4,2.7,0,0,0,0,0
1.41,2.7,0,0,0,0,0
1.42,2.7,0,0,0,0,0
1.43,2.7,0.740740740740741,0,1,0,0
1.44,2.7,6,0,8.1,0,0
1.45,2.7,0.444444444444445,0,0.6,0,0
1.46,2.7,1.7037037037037,0,2.3,0,0
1.47,2.7,1.7037037037037,0,2.3,0,0
1.48,2.7,1.18518518518519,0,1.6,0,0
1.49,2.7,0,0,0,0,0
1.5,2.7,0,0,0,0,0
1.51,2.7,0,0,0,0,0
1.52,2.7,0.740740740740741,0,1,0,0
1.53,2.7,1.77777777777778,0,2.4,0,0
1.54,2.7,0,0,0,0,0
1.55,2.7,0,0,0,0,0
1.56,2.7,0.740740740740741,0,1,0,0
1.57,2.7,4.74074074074074,0,6.4,0,0
1.58,2.7,2.66666666666667,0,3.6,0,0
1.59,2.7,0,0,0,0,0
1.6,2.7,0,0,0,0,0
1.61,2.7,0,0,0,0,0
1.62,2.7,0,0,0,0,0
1.63,2.7,0,0,0,0,0
1.64,2.7,0,0,0,0,0
1.65,2.7,0,0,0,0,0
1.66,2.7,0,0,0,0,0
1.67,2.7,0,0,0,0,0
1.68,2.7,0,0,0,0,0
1.69,2.7,0,0,0,0,0
1.7,2.7,0,0,0,0,0
1.71,2.7,0,0,0,0,0
1.72,2.7,0,0,0,0,0
1.73,2.7,0,0,0,0,0
1.74,2.7,0,0,0,0,0
1.75,2.7,0,0,0,0,0
1.76,2.7,0,0,0,0,0
1.77,2.7,0,0,0,0,0
1.78,2.7,0,0,0,0,0
1.79,2.7,0,0,0,0,0
1.8,2.7,0,0,0,0,0
1.81,2.7,0,0,0,0,0
1.82,2.7,0,0,0,0,0
1.83,2.7,0,0,0,0,0
1.84,2.7,0,0,0,0,0
1.85,2.7,0,0,0,0,0
1.86,2.7,0,0,0,0,0
1.87,2.7,0,0,0,0,0
1.88,2.7,0,0,0,0,0
1.89,2.7,0,0,0,0,0
1.9,2.7,0,0,0,0,0
1.91,2.7,0,0,0,0,0
1.92,2.7,0,0,0,0,0
1.93,2.7,0,0,0,0,0
1.94,2.7,0,0,0,0,0
1.95,2.7,0,0,0,0,0
1.96,2.7,0,0,0,0,0
1.97,2.7,0,0,0,0,0
1.98,2.7,0,0,0,0,0
1.99,2.7,0,0,0,0,0
2,2.7,0,0,0,0,0
2.01,2.7,0,0,0,0,0
2.02,2.7,0,0,0,0,0
2.03,2.7,0,0,0,0,0
2.04,2.7,0,0,0,0,0
2.05,2.7,0,0,0,0,0
2.06,2.7,0,0,0,0,0
2.07,2.7,0,0,0,0,0
2.08,2.7,0,0,0,0,0
2.09,2.7,0,0,0,0,0
2.1,2.7,0,0,0,0,0
2.11,2.7,0.814814814814815,0,1.1,0,0
2.12,2.7,0,0,0,0,0
2.13,2.7,0,0,0,0,0
2.14,2.7,0,0,0,0,0
2.15,2.7,0,0,0,0,0
2.16,2.7,0,0,0,0,0
2.17,2.7,0,0,0,0,0
2.18,2.7,0,0,0,0,0
2.19,2.7,0,0,0,0,0
2.2,2.7,0,0,0,0,0
2.21,2.7,0,0,0,0,0
2.22,2.7,0,0,0,0,0
2.23,2.7,0,0,0,0,0
2.24,2.7,1.18518518518519,0,1.6,0,0
2.25,2.7,0,0,0,0,0
2.26,2.7,0,0,0,0,0
2.27,2.7,0,0,0,0,0
2.28,2.7,0,0,0,0,0
2.29,2.7,0.814814814814815,0,1.1,0,0
2.3,2.7,0,0,0,0,0
2.31,2.7,0,0,0,0,0
2.32,2.7,0,0,0,0,0
2.33,2.7,0.888888888888889,0,1.2,0,0
2.34,2.7,1.03703703703704,0,1.4,0,0
2.35,2.7,0,0,0,0,0
2.36,2.7,0,0,0,0,0
2.37,2.7,0,0,0,0,0
2.38,2.7,0,0,0,0,0
2.39,2.7,0,0,0,0,0
2.4,2.7,0,0,0,0,0
2.41,2.7,0,0,0,0,0
2.42,2.7,0,0,0,0,0
2.43,2.7,0,0,0,0,0
2.44,2.7,0,0,0,0,0
2.45,2.7,0,0,0,0,0
2.46,2.7,0,0,0,0,0
2.47,2.7,0,0,0,0,0
2.48,2.7,0,0,0,0,0
2.49,2.7,0,0,0,0,0
2.5,2.7,0,0,0,0,0
2.51,2.7,0,0,0,0,0
2.52,2.7,0,0,0,0,0
2.53,2.7,0,0,0,0,0
2.54,2.7,0,0,0,0,0
2.55,2.7,0,0,0,0,0
2.56,2.7,0,0,0,0,0
2.57,2.7,0,0,0,0,0
2.58,2.7,0,0,0,0,0
2.59,2.7,0,0,0,0,0
2.6,2.7,0,0,0,0,0
2.61,2.7,0,0,0,0,0
2.62,2.7,0,0,0,0,0
2.63,2.7,0,0,0,0,0
2.64,2.7,0,0,0,0,0
2.65,2.7,0,0,0,0,0
2.66,2.7,0,0,0,0,0
2.67,2.7,0,0,0,0,0
2.68,2.7,0,0,0,0,0
2.69,2.7,0,0,0,0,0
2.7,2.7,0,0,0,0,0
2.71,2.7,1.62962962962963,0,0,2.2,0
2.72,2.7,0,0,0,0,0
2.73,2.7,0,0,0,0,0
2.74,2.7,0,0,0,0,0
2.75,2.7,2.96296296296296,0,4,0,0
2.76,2.7,6.59259259259259,0,8.9,0,0
2.77,2.7,0.740740740740741,0,1,0,0
2.78,2.7,0,0,0,0,0
2.79,2.7,0,0,0,0,0
2.8,2.7,2.14814814814815,0,2.9,0,0
2.81,2.7,3.40740740740741,0,4.6,0,0
2.82,2.7,0,0,0,0,0
2.83,2.7,0,0,0,0,0
2.84,2.7,0,0,0,0,0
2.85,2.7,0,0,0,0,0
2.86,2.7,0,0,0,0,0
2.87,2.7,2.37037037037037,0,0.4,2.8,0
2.88,2.7,0,0,0,0,0
2.89,2.7,0,0,0,0,0
2.9,2.7,0,0,0,0,0
2.91,2.7,0,0,0,0,0
2.92,2.7,0,0,0,0,0
2.93,2.7,0,0,0,0,0
2.94,2.7,0,0,0,0,0
2.95,2.7,0,0,0,0,0
2.96,2.7,0,0,0,0,0
2.97,2.7,0,0,0,0,0
2.98,2.7,1.25925925925926,0,0,1.7,0
2.99,2.7,0,0,0,0,0
3,2.7,0,0,0,0,0
3.01,2.7,0,0,0,0,0
3.02,2.7,0,0,0,0,0
3.03,2.7,0,0,0,0,0
3.04,2.7,0,0,0,0,0
3.05,2.7,0,0,0,0,0
3.06,2.7,0,0,0,0,0
3.07,2.7,0,0,0,0,0
3.08,2.7,0,0,0,0,0
3.09,2.7,0,0,0,0,0
3.1,2.7,0,0,0,0,0
