起点桩号(km),IRI_左(m/km),IRI_右(m/km),IRI(m/km),速度(m/s)
0.0000,16.18,,16.18,2.80
0.0100,6.70,,6.70,5.80
0.0200,3.86,,3.86,6.87
0.0300,2.67,,2.67,7.31
0.0400,6.43,,6.43,7.30
0.0500,3.67,,3.67,7.23
0.0600,4.29,,4.29,7.65
0.0700,5.38,,5.38,7.36
0.0800,3.78,,3.78,5.63
0.0900,8.46,,8.46,0.82
0.1000,7.92,,7.92,4.15
0.1100,4.97,,4.97,5.75
0.1200,8.97,,8.97,0.65
0.1300,7.07,,7.07,4.41
0.1400,6.51,,6.51,6.07
0.1500,3.39,,3.39,6.76
0.1600,6.38,,6.38,6.95
0.1700,5.83,,5.83,7.43
0.1800,4.74,,4.74,8.08
0.1900,2.66,,2.66,7.96
0.2000,4.10,,4.10,5.71
0.2100,6.51,,6.51,4.69
0.2200,8.37,,8.37,6.46
0.2300,7.01,,7.01,7.66
0.2400,1.44,,1.44,8.65
0.2500,2.36,,2.36,9.40
0.2600,2.64,,2.64,9.86
0.2700,4.66,,4.66,9.98
0.2800,5.43,,5.43,9.62
0.2900,5.74,,5.74,8.68
0.3000,4.62,,4.62,8.96
0.3100,1.84,,1.84,9.65
0.3200,3.30,,3.30,9.71
0.3300,1.41,,1.41,9.43
0.3400,1.10,,1.10,8.96
0.3500,2.85,,2.85,8.63
0.3600,1.54,,1.54,8.98
0.3700,5.14,,5.14,9.47
0.3800,3.14,,3.14,9.78
0.3900,3.83,,3.83,9.09
0.4000,2.18,,2.18,6.32
0.4100,9.63,,9.63,0.62
0.4200,3.37,,3.37,2.52
0.4300,2.59,,2.59,5.60
0.4400,3.22,,3.22,7.19
0.4500,3.26,,3.26,7.80
0.4600,2.18,,2.18,8.08
0.4700,3.10,,3.10,8.07
0.4800,2.50,,2.50,7.83
0.4900,2.25,,2.25,7.41
0.5000,3.24,,3.24,6.65
