桩号(km),经度,纬度,有效性
0.000,105.729493,33.733901,A
0.010,105.729514,33.733815,A
0.020,105.729540,33.733728,A
0.030,105.729558,33.733669,A
0.040,105.729587,33.733548,A
0.050,105.729605,33.733470,A
0.060,105.729629,33.733380,A
0.070,105.729646,33.733314,A
0.080,105.729675,33.733186,A
0.090,105.729701,33.733094,A
0.100,105.729731,33.733023,A
0.110,105.729755,33.732940,A
0.120,105.729780,33.732845,A
0.130,105.729826,33.732805,A
0.140,105.729926,33.732788,A
0.150,105.730021,33.732805,A
0.160,105.730118,33.732831,A
0.170,105.730212,33.732861,A
0.180,105.730287,33.732889,A
0.190,105.730391,33.732918,A
0.200,105.730532,33.732948,A
0.210,105.730656,33.732977,A
0.220,105.730748,33.733009,A
0.230,105.730817,33.733031,A
0.240,105.730901,33.733048,A
0.250,105.731013,33.733068,A
0.260,105.731070,33.733080,A
0.270,105.731248,33.733122,A
0.280,105.731342,33.733148,A
0.290,105.731415,33.733169,A
0.300,105.731521,33.733199,A
0.310,105.731614,33.733229,A
0.320,105.731731,33.733270,A
0.330,105.731822,33.733301,A
0.340,105.731906,33.733329,A
0.350,105.732040,33.733363,A
0.360,105.732130,33.733374,A
0.370,105.732172,33.733374,A
0.380,105.732330,33.733355,A
0.390,105.732472,33.733326,A
0.400,105.732580,33.733305,A
0.410,105.732716,33.733279,A
0.420,105.732787,33.733273,A
0.430,105.732874,33.733276,A
0.440,105.732945,33.733285,A
0.450,105.733061,33.733302,A
0.460,105.733147,33.733314,A
0.470,105.733270,33.733328,A
0.480,105.733398,33.733346,A
0.490,105.733511,33.733363,A
0.500,105.733629,33.733383,A
0.510,105.733742,33.733400,A
