桩号(km),左高程(mm),右高程(mm),速度(m/s)
0.52300,48.59,,0.14
0.52310,45.81,,0.43
0.52320,45.01,,0.54
0.52330,45.08,,0.68
0.52340,45.21,,0.84
0.52350,45.37,,1.01
0.52360,45.56,,1.15
0.52370,46.08,,1.28
0.52380,46.41,,1.40
0.52390,46.79,,1.51
0.52400,47.04,,1.61
0.52410,46.95,,1.71
0.52420,46.83,,1.80
0.52430,46.89,,1.90
0.52440,47.57,,1.98
0.52450,48.48,,2.03
0.52460,48.89,,2.12
0.52470,49.67,,2.16
0.52480,50.19,,2.26
0.52490,50.43,,2.27
0.52500,50.80,,2.34
0.52510,51.29,,2.41
0.52520,51.66,,2.44
0.52530,52.11,,2.50
0.52540,52.61,,2.55
0.52550,53.46,,2.58
0.52560,54.60,,2.65
0.52570,55.23,,2.70
0.52580,55.56,,2.72
0.52590,55.97,,2.80
0.52600,56.55,,2.85
0.52610,57.33,,2.87
0.52620,58.25,,2.94
0.52630,59.50,,2.96
0.52640,60.19,,3.05
0.52650,60.52,,3.07
0.52660,60.72,,3.10
0.52670,60.83,,3.17
0.52680,60.92,,3.25
0.52690,60.03,,3.19
0.52700,59.33,,3.35
0.52710,59.11,,3.39
0.52720,59.22,,3.38
0.52730,59.59,,3.45
0.52740,60.28,,3.53
0.52750,61.11,,3.51
0.52760,62.08,,3.59
0.52770,62.68,,3.58
0.52780,63.33,,3.73
0.52790,63.53,,3.71
0.52800,64.12,,3.80
0.52810,64.89,,3.94
0.52820,65.43,,3.86
0.52830,65.91,,3.98
0.52840,65.99,,4.01
0.52850,66.23,,4.02
0.52860,66.82,,4.05
0.52870,66.74,,4.15
0.52880,66.70,,4.22
0.52890,67.43,,4.24
0.52900,67.49,,4.28
0.52910,67.87,,4.32
0.52920,67.21,,4.37
0.52930,66.30,,4.46
0.52940,64.60,,4.47
0.52950,63.19,,4.46
0.52960,63.01,,4.47
0.52970,63.55,,4.56
0.52980,64.48,,4.52
0.52990,65.01,,4.56
0.53000,65.94,,5.16
0.53010,66.84,,4.47
0.53020,67.20,,4.46
0.53030,64.51,,4.91
0.53040,56.33,,5.09
0.53050,52.72,,4.85
0.53060,51.93,,4.67
0.53070,52.46,,4.97
0.53080,52.46,,5.16
0.53090,52.24,,4.97
0.53100,56.10,,4.79
0.53110,64.35,,4.96
0.53120,64.77,,5.16
0.53130,62.99,,5.22
0.53140,61.24,,5.09
0.53150,60.24,,5.03
0.53160,59.39,,5.16
0.53170,57.70,,5.29
0.53180,55.85,,5.23
0.53190,55.98,,5.09
0.53200,56.42,,5.37
0.53210,56.05,,5.44
0.53220,55.76,,5.22
0.53230,56.43,,5.16
0.53240,57.72,,5.44
0.53250,56.90,,5.44
0.53260,56.92,,5.44
0.53270,57.04,,5.37
0.53280,57.01,,5.44
0.53290,56.59,,5.44
0.53300,56.36,,5.51
0.53310,56.46,,5.59
0.53320,56.50,,5.51
0.53330,56.33,,5.59
0.53340,56.45,,5.51
0.53350,56.69,,5.63
0.53360,57.08,,5.63
0.53370,57.03,,5.67
0.53380,56.82,,5.71
0.53390,56.56,,5.71
0.53400,56.42,,5.75
